"key","en","vi"
"GamblingSettings.betting.startGameLore","&7Start the game with your current bet!","&7Bắt đầu trò chơi với cược hiện tại!"
"GamblingSettings.betting.unaffordableColor","&c","&c"
"GamblingSettings.betting.yourFinancesTitle","&6Your Finances","&6Tài Chính Của Bạn"
"GamblingSettings.blackjack.betLabel","&aBet: ","&aCược: "
"GamblingSettings.blackjack.blackjackPayoutLabel","&7Blackjack: ","&7Blackjack: "
"GamblingSettings.blackjack.cardOfText"," &7of "," &7của "
"GamblingSettings.blackjack.cardSuitClubs","Clubs","Chuồn"
"GamblingSettings.blackjack.cardSuitDiamonds","Diamonds","Rô"
"GamblingSettings.blackjack.cardSuitHearts","Hearts","Cơ"
"GamblingSettings.blackjack.cardSuitSpades","Spades","Bích"
"GamblingSettings.blackjack.cardValueLabel","&7Value: ","&7Giá Trị: "
"GamblingSettings.blackjack.dealerLabel","&cDealer: ","&cNhà Cái: "
"GamblingSettings.blackjack.doubleDownButton","&6&lDOUBLE DOWN","&6&lTĂNG GẤP ĐÔI"
"GamblingSettings.blackjack.doubleDownButtonLore","&7Double your bet, take one card, then stand","&7Tăng gấp đôi cược, rút một lá, rồi dừng"
"GamblingSettings.blackjack.doubleDownCantAffordLore","&cYou can't afford to double!","&cBạn không đủ tiền để tăng gấp đôi!"
"GamblingSettings.blackjack.doubleDownDisabled","&7Double Down","&7Tăng Gấp Đôi"
"GamblingSettings.blackjack.hiddenCardLore","&7Hidden","&7Ẩn"
"GamblingSettings.blackjack.hiddenCardText","&8???","&8???"
"GamblingSettings.blackjack.hitButton","&a&lHIT","&a&lRÚT"
"GamblingSettings.blackjack.hitButtonLore","&7Draw another card","&7Rút thêm một lá bài"
"GamblingSettings.blackjack.playerLabel","&aYou: ","&aBạn: "
"GamblingSettings.blackjack.resultBetReturned","&7Your bet was returned.","&7Tiền cược của bạn đã được hoàn lại."
"GamblingSettings.blackjack.resultBlackjack","&a&lBLACKJACK!","&a&lBLACKJACK!"
"GamblingSettings.blackjack.resultBust","&c&lBUST!","&c&lVỠ BÀI!"
"GamblingSettings.blackjack.resultCloseToContinue","&eClose to continue","&eĐóng để tiếp tục"
"GamblingSettings.blackjack.resultDealerBusts","&a&lDEALER BUSTS!","&a&lNHÀ CÁI VỠ BÀI!"
"GamblingSettings.blackjack.resultDealerLabel","&7Dealer: ","&7Nhà Cái: "
"GamblingSettings.blackjack.resultDealerWins","&c&lDEALER WINS","&c&lNHÀ CÁI THẮNG"
"GamblingSettings.blackjack.resultGameOver","&7Game Over","&7Trò Chơi Kết Thúc"
"GamblingSettings.blackjack.resultLostPrefix","&cYou lost ","&cBạn đã thua "
"GamblingSettings.blackjack.resultPlayerLabel","&7Player: ","&7Người Chơi: "
"GamblingSettings.blackjack.resultPush","&e&lPUSH - TIE","&e&lHÒA"
"GamblingSettings.blackjack.resultWonPrefix","&aYou won ","&aBạn đã thắng "
"GamblingSettings.blackjack.resultWonSuffix"," coins!"," đồng!"
"GamblingSettings.blackjack.resultYouWin","&a&lYOU WIN!","&a&lBẠN THẮNG!"
"GamblingSettings.blackjack.standButton","&e&lSTAND","&e&lDỪNG"
"GamblingSettings.blackjack.standButtonLore","&7Keep your current hand","&7Giữ bài hiện tại"
"GamblingSettings.blackjack.winPayoutLabel","&7Win: ","&7Thắng: "
"GamblingSettings.coinFlip.betLabel","&aBet: ","&aCược: "
"GamblingSettings.coinFlip.chooseLore","&7Choose Heads or Tails!","&7Chọn Ngửa hay Sấp!"
"GamblingSettings.coinFlip.closeToContinue","&eClose to continue","&eĐóng để tiếp tục"
"GamblingSettings.coinFlip.coinTitle","&6&lThe Coin","&6&lĐồng Xu"
"GamblingSettings.coinFlip.edgeChanceLore","&b✦ 1% chance to land on EDGE!","&b✦ 1% cơ hội rơi vào CẠNH!"
"GamblingSettings.coinFlip.edgeChatMessageV2","&b&l✦ EDGE! ✦ &7The coin landed on its edge! &a5x PAYOUT! &7You won &a%amount% coins&7!","&b&l✦ CẠNH! ✦ &7Đồng xu rơi vào cạnh! &a5x TRÚNG THƯỞNG! &7Bạn thắng &a%amount% đồng&7!"
"GamblingSettings.coinFlip.edgeCoinLore","&7The coin landed on its &bEDGE&7!","&7Đồng xu rơi vào &bCẠNH&7!"
"GamblingSettings.coinFlip.edgeCoinTitle","&b&l✦ EDGE! ✦","&b&l✦ CẠNH! ✦"
"GamblingSettings.coinFlip.edgeLandedLore","&7The coin landed on its &bEDGE&7!","&7Đồng xu rơi vào &bCẠNH&7!"
"GamblingSettings.coinFlip.edgePayoutLoreV2","&b✦ Edge Payout: &a5x &7(&a","&b✦ Thưởng Cạnh: &a5x &7(&a"
"GamblingSettings.coinFlip.edgePayoutMultiplierV2","&6&l5x PAYOUT!","&6&l5x TRÚNG THƯỞNG!"
"GamblingSettings.coinFlip.edgeRareLore","&7This is incredibly rare! (1% chance)","&7Điều này cực kỳ hiếm! (1% cơ hội)"
"GamblingSettings.coinFlip.edgeResultTitle","&b&l✦ INCREDIBLE! ✦","&b&l✦ TUYỆT VỜI! ✦"
"GamblingSettings.coinFlip.edgeWonPrefix","&7You won &a","&7Bạn đã thắng &a"
"GamblingSettings.coinFlip.flipping","&7Flipping...","&7Đang tung..."
"GamblingSettings.coinFlip.headsBetLore","&7Click to bet on Heads!","&7Nhấn để cược Ngửa!"
"GamblingSettings.coinFlip.headsButton","&e&lHEADS","&e&lNGỬA"
"GamblingSettings.coinFlip.headsText","&e&lHEADS","&e&lNGỬA"
"GamblingSettings.coinFlip.headsWord","Heads","Ngửa"
"GamblingSettings.coinFlip.landedOnLore","&7The coin landed on ","&7Đồng xu rơi vào "
"GamblingSettings.coinFlip.lostPrefix","&7You lost &c","&7Bạn đã thua &c"
"GamblingSettings.coinFlip.makeYourChoice","&7Make your choice!","&7Hãy chọn của bạn!"
"GamblingSettings.coinFlip.normalWinLabel","&7Normal Win: &a","&7Thắng Thường: &a"
"GamblingSettings.coinFlip.payoutLabel","&7Payout: &e","&7Trúng Thưởng: &e"
"GamblingSettings.coinFlip.tailsBetLore","&7Click to bet on Tails!","&7Nhấn để cược Sấp!"
"GamblingSettings.coinFlip.tailsButton","&6&lTAILS","&6&lSẤP"
"GamblingSettings.coinFlip.tailsText","&6&lTAILS","&6&lSẤP"
"GamblingSettings.coinFlip.tailsWord","Tails","Sấp"
"GamblingSettings.coinFlip.willFlipLore","&7The coin will flip...","&7Đồng xu sẽ được tung..."
"GamblingSettings.coinFlip.winLore","&7Win: &a","&7Thắng: &a"
"GamblingSettings.coinFlip.wonPrefix","&7You won &a","&7Bạn đã thắng &a"
"GamblingSettings.coinFlip.youLose","&c&lYOU LOSE","&c&lBẠN THUA"
"GamblingSettings.coinFlip.youWin","&a&lYOU WIN!","&a&lBẠN THẮNG!"
"GamblingSettings.debtCollector.deathMessage","&c[Debt Collector] &7Ugh... I'll be back, &e$player&7. And I'll bring friends!","&c[Đòi Nợ] &7Ugh... Tôi sẽ quay lại, &e$player&7. Và tôi sẽ mang theo bạn bè!"
"GamblingSettings.debtCollector.debtAutoClearedMessage","&c[Debt Collector] &7That settles your debt. You're square with us... for now. Try not to push your luck again.","&c[Debt Collector] &7That settles your debt. You're square with us... for now. Try not to push your luck again."
"GamblingSettings.debtCollector.debtAutoCollectedMessage","&c[Debt Collector] &7Nice earnings. I'll be taking &6$amount coins &7off the top. You still owe &6$remaining coins&7. Don't forget it.","&c[Debt Collector] &7Nice earnings. I'll be taking &6$amount coins &7off the top. You still owe &6$remaining coins&7. Don't forget it."
"GamblingSettings.debtCollector.debtClearedMessage","&a[Casino] &7Your debt has been cleared! You're free... for now.","&a[Sòng Bạc] &7Nợ của bạn đã được xóa! Bạn tự do... cho đến bây giờ."
"GamblingSettings.debtCollector.debtPaidMessage","&7[Casino] &e$amount coins &7of debt paid. Remaining debt: &c$remaining coins","&7[Sòng Bạc] &e$amount đồng &7nợ đã trả. Nợ còn lại: &c$remaining đồng"
"GamblingSettings.debtCollector.killMessage","&c[Debt Collector] &7Pleasure doing business, &e$player&7. Let that be a lesson about debts!","&c[Đòi Nợ] &7Vui được giao dịch, &e$player&7. Đó là bài học về món nợ!"
"GamblingSettings.debtCollector.spawnMessage","&c[Debt Collector] &7Well well well... &e$player&7. You owe us &6$amount coins&7. Time to pay up!","&c[Đòi Nợ] &7Ồ ồ ồ... &e$player&7. Bạn nợ chúng tôi &6$amount đồng&7. Đến lúc trả rồi!"
"GamblingSettings.debtCollector.timeoutMessage","&c[Debt Collector] &7Running won't save you, &e$player&7. I'll be back for what you owe!","&c[Đòi Nợ] &7Chạy trốn không cứu được bạn, &e$player&7. Tôi sẽ quay lại đòi nợ!"
"GamblingSettings.gambling.currencyWord","coins","đồng"
"GamblingSettings.gambling.houseEarningsLabel","&6House Earnings: ","&6Thu Nhập Nhà Cái: "
"GamblingSettings.higherLower.autoCashOutChat","&a[Casino] Auto-cashed out: &6%amount% coins &a(Streak: %streak%)","&a[Sòng Bạc] Tự động rút: &6%amount% đồng &a(Chuỗi: %streak%)"
"GamblingSettings.higherLower.autoCashoutSuffix"," &7(auto-cashout)"," &7(tự động rút)"
"GamblingSettings.higherLower.betLabel","&aBet: ","&aCược: "
"GamblingSettings.higherLower.cardValueLabel","&7Value: &f","&7Giá Trị: &f"
"GamblingSettings.higherLower.cashOutButton","&e&lCASH OUT","&e&lRÚT TIỀN"
"GamblingSettings.higherLower.cashOutClickLore","&7Click to take your winnings!","&7Nhấn để nhận tiền thắng!"
"GamblingSettings.higherLower.cashOutDisabled","&7Cash Out","&7Rút Tiền"
"GamblingSettings.higherLower.cashOutWinOnceLore","&7Win at least once to cash out!","&7Thắng ít nhất một lần để rút tiền!"
"GamblingSettings.higherLower.cashedOutLore","&7You cashed out with &a","&7Bạn đã rút với &a"
"GamblingSettings.higherLower.cashedOutStreakLore","&7Streak: &e","&7Chuỗi: &e"
"GamblingSettings.higherLower.cashedOutTitle","&a&lCASHED OUT!","&a&lĐÃ RÚT TIỀN!"
"GamblingSettings.higherLower.closeToContinue","&eClose to continue","&eĐóng để tiếp tục"
"GamblingSettings.higherLower.correctChat","&a[Casino] Correct! Streak: %streak% | Multiplier: %multiplier%x","&a[Sòng Bạc] Đúng! Chuỗi: %streak% | Nhân: %multiplier%x"
"GamblingSettings.higherLower.currentWinningsLabel","&7Current Winnings: &a","&7Tiền Thắng Hiện Tại: &a"
"GamblingSettings.higherLower.eachGuessLore","&7Each correct guess multiplies by &e","&7Mỗi đoán đúng nhân với &e"
"GamblingSettings.higherLower.gameOverTitle","&c&lGAME OVER","&c&lTRÒ CHƠI KẾT THÚC"
"GamblingSettings.higherLower.hiddenCardText","&8&l???","&8&l???"
"GamblingSettings.higherLower.higherButton","&a&lHIGHER","&a&lCAO HƠN"
"GamblingSettings.higherLower.higherLore1","&7Click if you think the next","&7Nhấn nếu bạn nghĩ lá tiếp theo"
"GamblingSettings.higherLower.higherLore2","&7card is &ahigher &7than ","&7là &acao hơn &7so với "
"GamblingSettings.higherLower.lostCardLore","&7You lost! The card was ","&7Bạn thua! Lá bài là "
"GamblingSettings.higherLower.lostCoinsLore","&7You lost &c","&7Bạn đã thua &c"
"GamblingSettings.higherLower.lowerButton","&c&lLOWER","&c&lTHẤP HƠN"
"GamblingSettings.higherLower.lowerLore1","&7Click if you think the next","&7Nhấn nếu bạn nghĩ lá tiếp theo"
"GamblingSettings.higherLower.lowerLore2","&7card is &clower &7than ","&7là &cthấp hơn &7so với "
"GamblingSettings.higherLower.makeGuessLore","&7Make your guess!","&7Hãy đoán!"
